Confirmation Number,Invitee Status,Original Response Date (GMT),Registration Type,Sessions (All)
6PNRKQGQX24,Accepted,2024-05-06T19:20:17.000Z,Speaker - Member,"2024 Executive Pharmacy Exchange, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
6SN3FQPG97V,Accepted,2024-04-26T17:52:10.000Z,Member Full Conference Registration,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
WDNHRMWV258,Accepted,2024-05-29T18:37:16.000Z,Member Full Conference Registration,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
,No Response,,,
,No Response,,,
LBNW4SJG37Z,Accepted,2024-04-26T14:18:55.000Z,Speaker - Member,"Dapaglifozin, Sacubitril, Ivabradine: Word Scrabble?! A Closer Look at New Heart Failure Therapies, Pump the Breaks: A Focus on Infusion Device Safety, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, It’s About Time: Impact of Vancomycin AUC Dosing on Patient Outcomes & Pharmacy Workflow, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
DJNFPC6WR2X,Accepted,2024-04-29T20:30:34.000Z,HCA Member Full Conference,"2024 Executive Pharmacy Exchange, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
BFNPKFS8R99,Accepted,2024-05-23T13:18:21.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
F6N9FM6HQZQ,Accepted,2024-05-31T20:06:45.000Z,Complimentary Representatives,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
PRNW63NB38B,Accepted,2024-05-15T16:43:02.000Z,Member Full Conference Registration,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
,No Response,,,
,No Response,,,
,Declined,2024-04-25T16:27:37.000Z,Conference Team,
Z9NK4FYPDH5,Accepted,2024-04-26T14:42:53.000Z,Member Full Conference Registration,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
52NFN7ZF97N,Accepted,2024-05-31T20:27:53.000Z,Exhibitor Representative,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, No, I will not attend the Monday Night Event, No, I will not attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
P4N2NQL4D9S,Accepted,2024-05-01T18:15:22.000Z,Complimentary Representatives,"Innovation in Healthcare, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
XMNBLQ8JBM6,Accepted,2024-04-25T23:01:40.000Z,HCA Member Full Conference,"2024 Executive Pharmacy Exchange, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
B8NL3LLZWC3,Accepted,2024-04-26T14:32:19.000Z,HCA Member Full Conference,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
S4NLZQ9M6ZW,Accepted,2024-04-26T01:36:45.000Z,Staff Full Conference,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
,No Response,,,
XVNGH97QZPP,Accepted,2024-05-06T20:45:18.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
,Declined,2024-06-04T14:56:37.000Z,Member Full Conference Registration,
,No Response,,,
S7N75HN7YMR,Accepted,2024-04-29T15:53:55.000Z,Exhibitor Representative,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
55NWCNXYWN3,Accepted,2024-05-07T14:09:13.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Med ‘Wreck’ to Med Rec: Medication Reconciliation Quality Improvement & Program Development, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
